Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,1,409,IST,P007200,"LARKIN, SHANE",3FGA,Missed Three Pointer,0,150,790,I,0,0,0,28,02:30,54,57,20250930190031
2025,1,413,TEL,P013289,"SANTOS, MARCIO",FTM,Free Throw In,1,-1,-1, ,0,0,0,28,02:09,54,58,20250930190128
2025,1,417,TEL,P013289,"SANTOS, MARCIO",FTM,Free Throw In,1,-1,-1, ,0,0,0,28,02:09,54,59,20250930190144
2025,1,419,IST,P009754,"LOYD, JORDAN",3FGM,Three Pointer,3,-414,715,H,0,0,0,29,01:48,57,59,20250930190208
2025,1,421,TEL,P013403,"WALKER IV, LONNIE",3FGA,Missed Three Pointer,0,156,828,I,0,0,0,29,01:37,57,59,20250930190219
2025,1,423,IST,P009754,"LOYD, JORDAN",3FGA,Missed Three Pointer,0,-156,815,H,0,0,0,29,01:24,57,59,20250930190233
2025,1,425,TEL,P014123,"DOWTIN JR, JEFFREY",3FGA,Missed Three Pointer,0,-476,639,H,0,0,0,29,01:17,57,59,20250930190239
2025,1,432,IST,P009754,"LOYD, JORDAN",3FGM,Three Pointer,3,-357,840,H,0,0,1,30,00:28,60,59,20250930190406
2025,1,435,IST,P009549,"CORDINIER, ISAIA",2FGA,Missed Two Pointer,0,100,37,C,0,0,0,30,01:00,60,59,20250930190448
2025,1,448,IST,P007109,"SMITS, ROLANDS",3FGM,Three Pointer,3,-432,721,H,0,0,0,31,09:40,63,59,20250930190725
2025,1,450,TEL,P014127,"BRISSETT, O'SHAE J",3FGM,Three Pointer,3,577,552,I,0,0,0,31,09:22,63,62,20250930190743
2025,1,452,IST,P011201,"HAZER, SEHMUS",3FGA,Missed Three Pointer,0,526,495,I,0,0,0,31,09:02,63,62,20250930190803
2025,1,459,TEL,P014127,"BRISSETT, O'SHAE J",3FGA,Missed Three Pointer,0,520,639,I,0,0,0,32,08:50,63,62,20250930190815
2025,1,465,IST,P009754,"LOYD, JORDAN",3FGM,Three Pointer,3,-501,777,H,0,0,0,32,08:33,66,62,20250930190903
2025,1,473,TEL,P014123,"DOWTIN JR, JEFFREY",FTM,Free Throw In,1,-1,-1, ,0,0,0,32,08:24,66,63,20250930191100
2025,1,474,TEL,P011219,"SORKIN, ROMAN",2FGM,Two Pointer,2,-6,181,B,0,0,0,32,08:11,66,65,20250930191123
2025,1,476,IST,P007109,"SMITS, ROLANDS",2FGM,Two Pointer,2,50,81,C,0,0,0,33,07:53,68,65,20250930191141
2025,1,479,IST,P007200,"LARKIN, SHANE",FTM,Free Throw In,1,-1,-1, ,0,0,0,33,07:54,69,65,20250930191203
2025,1,482,TEL,P011219,"SORKIN, ROMAN",2FGM,Two Pointer,2,-181,69,B,0,0,0,33,07:32,69,67,20250930191241
2025,1,483,IST,P010391,"WEILER-BABB, NICK",3FGM,Three Pointer,3,-539,577,H,0,0,0,33,07:03,72,67,20250930191309
2025,1,489,TEL,P013699,"CLARK III, JIMMY",3FGA,Missed Three Pointer,0,457,734,I,0,0,0,34,06:38,72,67,20250930191359
2025,1,491,IST,P010391,"WEILER-BABB, NICK",2FGM,Two Pointer,2,0,150,B,0,0,0,34,06:28,74,67,20250930191412
2025,1,498,IST,P010391,"WEILER-BABB, NICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,34,06:28,75,67,20250930191453
2025,1,499,TEL,P013699,"CLARK III, JIMMY",2FGM,Two Pointer,2,-200,50,B,0,0,0,34,06:13,75,69,20250930191506
2025,1,512,IST,P009754,"LOYD, JORDAN",3FGA,Missed Three Pointer,0,-332,777,H,0,0,0,35,05:47,75,69,20250930191852
2025,1,514,IST,P012710,"OSMANI, ERCAN",2FGA,Missed Two Pointer,0,43,225,E,0,0,0,35,05:43,75,69,20250930191855
